symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
MMT,H1,44,21,61.9,23,47.83,54.55,54.55,0.0,292.5086,32.6841,325.1927,3.1767,0.7071,0.4672,5,6,2,42,0,0,17
AERGO,H1,68,33,54.55,35,37.14,45.59,51.47,5.88,291.224,51.4227,342.6467,2.1505,0.9367,0.8031,5,5,3,64,1,0,80
SCRT,H1,117,57,43.86,60,50.0,47.01,50.43,3.42,291.0458,86.4663,377.512,1.6889,0.7827,0.5432,5,6,2,115,0,0,64
SHELL,H1,102,52,48.08,50,42.0,45.1,48.04,2.94,290.0618,75.1555,365.2172,1.7783,1.0132,0.8289,6,8,3,99,0,0,43
LDO,H1,177,90,42.22,87,36.78,39.55,44.07,4.52,288.3002,134.1867,422.4869,1.3763,0.7826,1.1237,8,7,9,168,0,0,82
KGEN,H1,45,23,65.22,22,31.82,48.89,53.33,4.44,286.7674,34.0785,320.8459,2.0854,0.8682,1.0235,5,6,4,40,1,0,27
ALT,H1,167,83,45.78,84,41.67,43.71,45.51,1.8,286.0922,128.6436,414.7358,1.3965,0.8945,1.2966,4,8,11,156,0,0,103
FIL,H1,172,87,31.03,85,37.65,34.3,36.05,1.74,284.1748,129.0851,413.2599,1.4343,0.6611,1.1313,3,13,8,164,0,0,105
CAKE,H1,120,54,46.3,66,42.42,44.17,50.0,5.83,284.0714,89.5796,373.6511,1.844,1.2265,0.8656,6,7,10,110,0,0,123
RLC,H1,170,86,46.51,84,35.71,41.18,47.06,5.88,282.7144,128.9683,411.6827,1.4562,0.931,0.9023,5,9,6,164,0,0,121
ORDI,H1,172,85,35.29,87,40.23,37.79,41.86,4.07,281.7942,126.6763,408.4705,1.3961,0.7472,1.3942,5,10,5,167,0,0,87
LQTY,H1,174,88,38.64,86,43.02,40.8,44.25,3.45,280.9365,132.3219,413.2584,1.4272,0.8749,1.2528,7,9,9,165,0,0,114
CFX,H1,174,85,36.47,89,49.44,43.1,45.98,2.87,280.9154,130.4315,411.3469,1.3906,0.6209,0.983,6,6,8,165,1,0,104
KSM,H1,167,86,44.19,81,48.15,46.11,49.1,2.99,280.1599,123.9739,404.1338,1.6089,1.2038,0.4288,6,6,9,158,0,0,135
1000LUNC,H1,144,70,34.29,74,52.7,43.75,46.53,2.78,277.2698,108.7242,385.994,1.564,1.013,1.22,6,10,8,136,0,0,145
LINEA,H1,59,30,66.67,29,27.59,47.46,50.85,3.39,273.5582,44.0922,317.6504,2.3857,1.1456,0.479,4,3,7,52,0,0,24
PENGU,H1,117,61,42.62,56,39.29,41.03,44.44,3.42,272.0651,89.1628,361.228,1.4576,0.7771,0.7289,4,8,8,109,0,0,44
HOLO,H1,47,22,59.09,25,36.0,46.81,51.06,4.26,271.294,34.6163,305.9103,2.7935,1.0723,0.4398,6,10,4,43,0,0,32
EUL,H1,36,19,57.89,17,47.06,52.78,55.56,2.78,269.9314,26.7266,296.6579,3.4181,1.2529,0.2054,4,4,2,34,0,0,15
NAORIS,H1,73,38,47.37,35,45.71,46.58,52.05,5.48,269.6082,54.0158,323.624,1.5318,0.7154,1.3522,4,6,2,71,0,0,29
W,H1,167,87,42.53,80,38.75,40.72,43.11,2.4,269.2264,126.928,396.1543,1.4007,0.9131,1.2124,4,9,9,158,0,0,86
QTUM,H1,148,75,46.67,73,52.05,49.32,50.68,1.35,267.9534,109.8894,377.8427,1.6134,1.0118,0.7321,5,5,5,143,0,0,144
AKT,H1,108,54,51.85,54,48.15,50.0,50.93,0.93,265.7319,78.6127,344.3446,1.7246,1.0872,0.7495,4,5,7,101,0,0,75
CHZ,H1,143,65,41.54,78,35.9,38.46,40.56,2.1,264.538,110.2929,374.8309,1.4909,0.5682,1.7213,7,11,6,137,0,0,131
RAYSOL,H1,108,53,41.51,55,52.73,47.22,50.0,2.78,261.9873,81.2931,343.2805,1.6525,1.0063,0.7843,5,7,9,99,0,0,59
IRYS,H1,47,27,48.15,20,45.0,46.81,46.81,0.0,260.8167,35.018,295.8347,2.0079,0.8082,0.3895,3,3,2,45,0,0,15
SQD,H1,73,41,58.54,32,15.62,39.73,39.73,0.0,260.6114,54.3779,314.9893,1.76,0.8385,0.5124,4,9,1,72,0,0,38
ESPORTS,H1,71,43,44.19,28,35.71,40.85,43.66,2.82,260.131,51.4239,311.5548,1.7028,0.9059,0.9739,5,5,7,64,0,0,43
KMNO,H1,111,56,46.43,55,49.09,47.75,48.65,0.9,259.6716,84.3424,344.0141,1.5183,0.8259,1.1712,5,9,11,99,1,0,59
ZEC,H1,176,91,48.35,85,31.76,40.34,43.75,3.41,259.5544,129.1939,388.7482,1.3468,0.6984,0.8246,5,9,6,169,1,0,97
TAC,H1,56,31,48.39,25,28.0,39.29,41.07,1.79,259.0787,41.4913,300.57,1.8305,0.7318,1.396,4,11,3,53,0,0,42
JUP,H1,175,91,38.46,84,47.62,42.86,47.43,4.57,258.4735,131.7854,390.259,1.4116,0.9052,0.9624,4,6,10,165,0,0,88
AERO,H1,108,52,42.31,56,44.64,43.52,47.22,3.7,256.9424,80.3015,337.2439,1.6612,1.0477,0.4408,5,6,7,101,0,0,69
AIO,H1,57,34,61.76,23,39.13,52.63,52.63,0.0,256.6312,41.1604,297.7916,1.8123,0.8311,0.7674,4,4,1,55,1,0,29
G,H1,119,59,35.59,60,40.0,37.82,41.18,3.36,256.4345,86.6331,343.0676,1.7043,0.9288,0.648,5,13,3,116,0,0,91
DOGE,H1,142,62,37.1,80,48.75,43.66,47.89,4.23,256.1676,105.2515,361.4192,1.6421,1.088,0.5391,6,11,7,135,0,0,137
RESOLV,H1,60,35,48.57,25,52.0,50.0,50.0,0.0,254.3761,43.2382,297.6143,1.6498,0.5852,1.8475,8,5,3,56,1,0,36
SXT,H1,69,32,53.12,37,32.43,42.03,42.03,0.0,253.8155,51.9276,305.7431,1.9402,0.9398,1.045,4,10,2,67,0,0,56
SENT,H1,35,18,44.44,17,35.29,40.0,40.0,0.0,252.9327,26.4904,279.4231,2.8722,1.0132,0.3481,3,7,3,32,0,0,26
IOST,H1,141,66,42.42,75,46.67,44.68,49.65,4.96,251.5863,104.4614,356.0477,1.6818,1.237,0.4812,7,8,6,135,0,0,137
ERA,H1,60,29,41.38,31,45.16,43.33,46.67,3.33,249.5997,43.2227,292.8224,2.1747,0.6156,0.4853,3,4,2,58,0,0,55
ICX,H1,153,73,43.84,80,48.75,46.41,49.67,3.27,245.9716,114.0215,359.9931,1.6025,1.1692,0.5311,8,11,8,145,0,0,133
OG,H1,50,25,52.0,25,52.0,52.0,58.0,6.0,244.8298,37.1287,281.9586,2.7751,1.2989,0.4103,4,5,3,47,0,0,53
PHA,H1,112,53,50.94,59,38.98,44.64,46.43,1.79,244.0082,80.9004,324.9086,1.5163,0.8929,1.0998,6,8,4,108,0,0,73
ATH,H1,92,40,45.0,52,44.23,44.57,46.74,2.17,243.5,68.1296,311.6296,1.7134,0.9557,0.719,5,7,4,88,0,0,51
AEVO,H1,156,81,38.27,75,44.0,41.03,44.23,3.21,242.8229,117.5167,360.3396,1.3643,0.6125,1.079,4,9,3,153,0,0,89
AXS,H1,177,86,38.37,91,38.46,38.42,40.11,1.69,241.8439,129.115,370.9589,1.3804,0.7732,1.4735,5,7,10,167,0,0,115
MASK,H1,155,72,43.06,83,33.73,38.06,40.65,2.58,240.5091,114.8512,355.3603,1.4595,0.6382,0.88,4,7,3,152,0,0,148
GWEI,H1,31,16,68.75,15,46.67,58.06,61.29,3.23,239.9998,22.6297,262.6295,2.8134,1.0471,0.3619,6,3,3,28,0,0,8
RECALL,H1,41,23,43.48,18,22.22,34.15,39.02,4.88,238.9707,31.0345,270.0052,2.0912,0.5985,0.6589,2,5,1,40,0,0,20
XVG,H1,163,85,30.59,78,39.74,34.97,36.81,1.84,236.7823,117.3348,354.117,1.3128,0.6175,2.2789,5,8,7,156,0,0,110
HMSTR,H1,118,57,47.37,61,37.7,42.37,45.76,3.39,235.6581,85.2842,320.9424,1.4962,0.7692,1.031,5,7,6,112,0,0,79
SOPH,H1,66,30,43.33,36,63.89,54.55,59.09,4.55,233.6297,49.3748,283.0045,2.3747,1.2707,0.3747,7,4,2,64,0,0,61
COW,H1,121,63,38.1,58,36.21,37.19,40.5,3.31,233.1912,91.505,324.6962,1.4833,0.8113,0.8165,6,12,11,110,0,0,62
NEO,H1,149,71,43.66,78,37.18,40.27,40.94,0.67,233.0146,108.695,341.7096,1.4272,0.7746,0.8892,3,7,11,138,0,0,139
ACE,H1,174,87,37.93,87,40.23,39.08,41.38,2.3,232.6316,127.7104,360.342,1.2737,0.5801,0.9525,4,8,12,161,1,0,107
CLANKER,H1,42,20,50.0,22,59.09,54.76,54.76,0.0,232.2581,31.0058,263.2639,2.345,1.0227,0.3437,6,4,1,41,0,0,24
ETC,H1,151,70,30.0,81,48.15,39.74,46.36,6.62,229.2464,112.1678,341.4142,1.5894,0.9432,0.5979,6,10,7,144,0,0,144
STEEM,H1,142,65,41.54,77,46.75,44.37,47.89,3.52,228.967,103.8366,332.8036,1.578,1.038,0.4709,6,6,9,133,0,0,137
S,H1,98,48,41.67,50,42.0,41.84,44.9,3.06,227.9689,72.1396,300.1086,1.6579,0.9902,0.6231,4,7,10,88,0,0,53
WLD,H1,151,71,36.62,80,43.75,40.4,43.71,3.31,225.8505,110.9032,336.7537,1.3399,0.5196,1.6047,6,17,6,145,0,0,90
EIGEN,H1,132,65,44.62,67,43.28,43.94,45.45,1.52,225.4291,97.2428,322.6719,1.4228,0.8416,0.891,5,12,4,128,0,0,63
XAN,H1,33,19,73.68,14,35.71,57.58,57.58,0.0,223.8768,24.435,248.3119,2.7131,1.0692,0.4752,6,5,2,31,0,0,22
AVNT,H1,50,27,59.26,23,34.78,48.0,54.0,6.0,222.8822,36.7361,259.6183,2.1925,1.0476,0.5541,6,6,4,46,0,0,37
AR,H1,185,100,38.0,85,43.53,40.54,42.7,2.16,220.6458,136.8975,357.5433,1.2791,0.6475,1.0746,7,9,12,172,1,0,92
